Case,Activity,Timestamp,Department,Resource,System
1143,New online application received,2017-03-31 13:16:43.366,Department4,Res0_in_Department4,System3
1144,New online application received,2017-03-31 13:18:50.586,Department4,Res3_in_Department4,System3
1145,New online application received,2017-03-31 13:25:31.903,Department4,Res0_in_Department4,System3
1146,New online application received,2017-03-31 13:28:39.960,Department4,Res4_in_Department4,System3
1147,New online application received,2017-03-31 13:40:55.482,Department4,Res3_in_Department4,System3
1148,New online application received,2017-03-31 13:50:00.390,Department4,Res1_in_Department4,System3
1149,New online application received,2017-03-31 14:02:31.934,Department4,Res3_in_Department4,System3
115,New online application received,2017-03-14 14:39:06.699,Department4,Res0_in_Department4,System3
1150,New online application received,2017-03-31 14:13:16.878,Department4,Res2_in_Department4,System3
1151,New online application received,2017-03-31 14:19:17.199,Department4,Res3_in_Department4,System3
1152,New online application received,2017-03-31 14:21:08.661,Department4,Res0_in_Department4,System3
1153,New online application received,2017-03-31 14:25:46.155,Department4,Res2_in_Department4,System3
1154,New online application received,2017-03-31 14:45:53.301,Department4,Res3_in_Department4,System3
1155,New online application received,2017-03-31 14:52:39.447,Department4,Res2_in_Department4,System3
1156,New online application received,2017-03-31 14:56:29.404,Department4,Res3_in_Department4,System3
1157,New online application received,2017-03-31 15:03:50.098,Department4,Res1_in_Department4,System3
1158,New online application received,2017-03-31 15:04:11.099,Department4,Res0_in_Department4,System3
1159,New online application received,2017-03-31 15:05:51.586,Department4,Res1_in_Department4,System3
116,New online application received,2017-03-14 14:46:50.839,Department4,Res4_in_Department4,System3
1160,New online application received,2017-03-31 15:21:36.550,Department4,Res0_in_Department4,System3
1161,New online application received,2017-03-31 15:23:48.722,Department4,Res2_in_Department4,System3
1162,New online application received,2017-03-31 15:24:00.718,Department4,Res0_in_Department4,System3
1163,New online application received,2017-03-31 15:26:39.740,Department4,Res2_in_Department4,System3
1164,New online application received,2017-03-31 15:38:17.686,Department4,Res0_in_Department4,System3
1165,New online application received,2017-03-31 15:46:38.564,Department4,Res3_in_Department4,System3
1166,New online application received,2017-03-31 15:46:42.488,Department4,Res2_in_Department4,System3
1167,New online application received,2017-03-31 15:58:41.188,Department4,Res2_in_Department4,System3
1168,New online application received,2017-03-31 16:04:00.316,Department4,Res2_in_Department4,System3
1169,New online application received,2017-03-31 16:09:20.276,Department4,Res4_in_Department4,System3
117,New online application received,2017-03-14 14:47:14.789,Department4,Res3_in_Department4,System3
1170,New online application received,2017-03-31 16:21:37.869,Department4,Res4_in_Department4,System3
1171,New online application received,2017-03-31 16:34:29.279,Department4,Res2_in_Department4,System3
1172,New online application received,2017-03-31 16:38:01.641,Department4,Res1_in_Department4,System3
1173,New online application received,2017-03-31 16:48:08.605,Department4,Res3_in_Department4,System3
1174,New online application received,2017-03-31 16:49:16.305,Department4,Res0_in_Department4,System3
1175,New online application received,2017-03-31 17:01:54.345,Department4,Res2_in_Department4,System3
1176,New online application received,2017-03-31 17:09:12.259,Department4,Res3_in_Department4,System3
1177,New online application received,2017-03-31 17:10:31.753,Department4,Res2_in_Department4,System3
1178,New online application received,2017-03-31 17:11:05.839,Department4,Res0_in_Department4,System3
1179,New online application received,2017-03-31 17:12:20.201,Department4,Res4_in_Department4,System3
118,New online application received,2017-03-14 14:55:28.620,Department4,Res0_in_Department4,System3
1180,New online application received,2017-03-31 17:12:47.167,Department4,Res3_in_Department4,System3
1181,New online application received,2017-03-31 17:16:11.555,Department4,Res2_in_Department4,System3
1182,New online application received,2017-03-31 17:17:32.301,Department4,Res0_in_Department4,System3
1183,New online application received,2017-03-31 17:33:17.248,Department4,Res1_in_Department4,System3
1184,New online application received,2017-03-31 17:37:12.805,Department4,Res4_in_Department4,System3
1185,New online application received,2017-03-31 17:42:42.802,Department4,Res3_in_Department4,System3
1186,New online application received,2017-03-31 18:04:09.159,Department4,Res3_in_Department4,System3
1187,New online application received,2017-03-31 18:15:09.958,Department4,Res0_in_Department4,System3
1188,New online application received,2017-03-31 18:18:35.009,Department4,Res4_in_Department4,System3
1189,New online application received,2017-03-31 18:20:45.710,Department4,Res0_in_Department4,System3
119,New online application received,2017-03-14 15:03:48.139,Department4,Res4_in_Department4,System3
1190,New online application received,2017-03-31 18:26:10.521,Department4,Res2_in_Department4,System3
1191,New online application received,2017-03-31 18:30:25.072,Department4,Res3_in_Department4,System3
1192,New online application received,2017-03-31 18:33:11.602,Department4,Res4_in_Department4,System3
1193,New online application received,2017-03-31 18:46:25.722,Department4,Res3_in_Department4,System3
1194,New online application received,2017-03-31 18:50:45.852,Department4,Res1_in_Department4,System3
1195,New online application received,2017-03-31 18:56:56.673,Department4,Res2_in_Department4,System3
1196,New online application received,2017-04-03 11:08:49.263,Department4,Res4_in_Department4,System3
1197,New online application received,2017-04-03 11:16:29.619,Department4,Res0_in_Department4,System3
1198,New online application received,2017-04-03 11:43:28.923,Department4,Res3_in_Department4,System3
1199,New online application received,2017-04-03 11:48:00.136,Department4,Res2_in_Department4,System3
12,New online application received,2017-03-13 11:14:13.219,Department4,Res3_in_Department4,System3
120,New online application received,2017-03-14 15:05:50.783,Department4,Res2_in_Department4,System3
1200,New online application received,2017-04-03 11:57:38.728,Department4,Res3_in_Department4,System3
1201,New online application received,2017-04-03 12:01:31.249,Department4,Res3_in_Department4,System3
1202,New online application received,2017-04-03 12:07:30.605,Department4,Res1_in_Department4,System3
1203,New online application received,2017-04-03 12:09:51.680,Department4,Res3_in_Department4,System3
1204,New online application received,2017-04-03 12:13:44.529,Department4,Res1_in_Department4,System3
1205,New online application received,2017-04-03 12:14:29.323,Department4,Res0_in_Department4,System3
1206,New online application received,2017-04-03 12:15:07.365,Department4,Res3_in_Department4,System3
1207,New online application received,2017-04-03 12:15:53.075,Department4,Res4_in_Department4,System3
1208,New online application received,2017-04-03 12:26:10.625,Department4,Res1_in_Department4,System3
1209,New online application received,2017-04-03 12:27:49.199,Department4,Res4_in_Department4,System3
121,New online application received,2017-03-14 15:16:37.289,Department4,Res3_in_Department4,System3
1210,New online application received,2017-04-03 12:30:01.355,Department4,Res1_in_Department4,System3
1211,New online application received,2017-04-03 12:38:27.034,Department4,Res4_in_Department4,System3
1212,New online application received,2017-04-03 12:43:34.370,Department4,Res0_in_Department4,System3
1213,New online application received,2017-04-03 12:44:40.193,Department4,Res1_in_Department4,System3
1214,New online application received,2017-04-03 12:47:26.167,Department4,Res3_in_Department4,System3
1215,New online application received,2017-04-03 12:53:59.301,Department4,Res2_in_Department4,System3
1216,New online application received,2017-04-03 12:54:31.480,Department4,Res2_in_Department4,System3
1217,New online application received,2017-04-03 12:56:37.185,Department4,Res2_in_Department4,System3
1218,New online application received,2017-04-03 12:59:11.109,Department4,Res4_in_Department4,System3
1219,New online application received,2017-04-03 13:14:16.587,Department4,Res2_in_Department4,System3
122,New online application received,2017-03-14 15:19:46.599,Department4,Res1_in_Department4,System3
1220,New online application received,2017-04-03 13:15:29.514,Department4,Res4_in_Department4,System3
1221,New online application received,2017-04-03 13:19:50.750,Department4,Res0_in_Department4,System3
1222,New online application received,2017-04-03 13:26:21.069,Department4,Res3_in_Department4,System3
1223,New online application received,2017-04-03 13:36:20.759,Department4,Res4_in_Department4,System3
1224,New online application received,2017-04-03 13:38:04.704,Department4,Res1_in_Department4,System3
1225,New online application received,2017-04-03 13:39:06.347,Department4,Res1_in_Department4,System3
1226,New online application received,2017-04-03 13:50:10.733,Department4,Res2_in_Department4,System3
1227,New online application received,2017-04-03 13:54:47.007,Department4,Res3_in_Department4,System3
1228,New online application received,2017-04-03 14:00:13.805,Department4,Res2_in_Department4,System3
1229,New online application received,2017-04-03 14:03:08.856,Department4,Res3_in_Department4,System3
123,New online application received,2017-03-14 15:20:51.644,Department4,Res1_in_Department4,System3
1230,New online application received,2017-04-03 14:05:39.827,Department4,Res0_in_Department4,System3
1231,New online application received,2017-04-03 14:08:12.472,Department4,Res3_in_Department4,System3
1232,New online application received,2017-04-03 14:27:17.138,Department4,Res0_in_Department4,System3
1233,New online application received,2017-04-03 14:28:14.025,Department4,Res0_in_Department4,System3
1234,New online application received,2017-04-03 14:38:58.078,Department4,Res3_in_Department4,System3
1235,New online application received,2017-04-03 14:45:42.542,Department4,Res0_in_Department4,System3
1236,New online application received,2017-04-03 14:47:27.011,Department4,Res1_in_Department4,System3
1237,New online application received,2017-04-03 15:12:00.888,Department4,Res1_in_Department4,System3
1238,New online application received,2017-04-03 15:15:29.568,Department4,Res2_in_Department4,System3
1239,New online application received,2017-04-03 15:15:44.264,Department4,Res2_in_Department4,System3
124,New online application received,2017-03-14 15:23:11.082,Department4,Res1_in_Department4,System3
1240,New online application received,2017-04-03 15:22:27.775,Department4,Res3_in_Department4,System3
1241,New online application received,2017-04-03 15:54:49.562,Department4,Res0_in_Department4,System3
1242,New online application received,2017-04-03 16:00:41.514,Department4,Res2_in_Department4,System3
1243,New online application received,2017-04-03 16:04:12.395,Department4,Res4_in_Department4,System3
1244,New online application received,2017-04-03 16:16:54.878,Department4,Res0_in_Department4,System3
1245,New online application received,2017-04-03 16:17:45.124,Department4,Res3_in_Department4,System3
1246,New online application received,2017-04-03 16:40:18.175,Department4,Res3_in_Department4,System3
1247,New online application received,2017-04-03 16:43:43.614,Department4,Res2_in_Department4,System3
1248,New online application received,2017-04-03 16:45:39.682,Department4,Res1_in_Department4,System3
1249,New online application received,2017-04-03 16:47:02.594,Department4,Res1_in_Department4,System3
125,New online application received,2017-03-14 15:34:29.010,Department4,Res2_in_Department4,System3
1250,New online application received,2017-04-03 16:52:13.628,Department4,Res3_in_Department4,System3
1251,New online application received,2017-04-03 16:55:39.406,Department4,Res1_in_Department4,System3
1252,New online application received,2017-04-03 17:03:47.682,Department4,Res4_in_Department4,System3
1253,New online application received,2017-04-03 17:11:19.325,Department4,Res4_in_Department4,System3
1254,New online application received,2017-04-03 17:25:00.817,Department4,Res0_in_Department4,System3
1255,New online application received,2017-04-03 17:26:39.582,Department4,Res1_in_Department4,System3
1256,New online application received,2017-04-03 17:31:14.634,Department4,Res0_in_Department4,System3
1257,New online application received,2017-04-03 17:32:16.809,Department4,Res3_in_Department4,System3
1258,New online application received,2017-04-03 17:40:46.072,Department4,Res3_in_Department4,System3
1259,New online application received,2017-04-03 17:43:25.283,Department4,Res0_in_Department4,System3
126,New online application received,2017-03-14 15:36:37.186,Department4,Res4_in_Department4,System3
1260,New online application received,2017-04-03 17:45:35.067,Department4,Res1_in_Department4,System3
1261,New online application received,2017-04-03 17:46:48.680,Department4,Res1_in_Department4,System3
1262,New online application received,2017-04-03 18:02:05.347,Department4,Res4_in_Department4,System3
1263,New online application received,2017-04-03 18:12:44.835,Department4,Res0_in_Department4,System3
1264,New online application received,2017-04-03 18:25:11.474,Department4,Res0_in_Department4,System3
1265,New online application received,2017-04-03 18:47:58.299,Department4,Res1_in_Department4,System3
1266,New online application received,2017-04-03 18:48:21.000,Department4,Res4_in_Department4,System3
1267,New online application received,2017-04-03 18:50:08.189,Department4,Res4_in_Department4,System3
1268,New online application received,2017-04-03 18:54:23.959,Department4,Res3_in_Department4,System3
1269,New online application received,2017-04-03 18:57:40.735,Department4,Res2_in_Department4,System3
127,New online application received,2017-03-14 15:44:46.554,Department4,Res1_in_Department4,System3
1270,New online application received,2017-04-04 11:00:40.667,Department4,Res3_in_Department4,System3
1271,New online application received,2017-04-04 11:11:22.999,Department4,Res0_in_Department4,System3
1272,New online application received,2017-04-04 11:12:25.997,Department4,Res4_in_Department4,System3
1273,New online application received,2017-04-04 11:13:52.792,Department4,Res1_in_Department4,System3
1274,New online application received,2017-04-04 11:14:00.205,Department4,Res0_in_Department4,System3
1275,New online application received,2017-04-04 11:18:12.697,Department4,Res3_in_Department4,System3
1276,New online application received,2017-04-04 11:22:22.087,Department4,Res3_in_Department4,System3
1277,New online application received,2017-04-04 11:23:52.307,Department4,Res0_in_Department4,System3
1278,New online application received,2017-04-04 11:30:58.313,Department4,Res4_in_Department4,System3
1279,New online application received,2017-04-04 11:37:07.364,Department4,Res4_in_Department4,System3
128,New online application received,2017-03-14 15:50:41.646,Department4,Res3_in_Department4,System3
1280,New online application received,2017-04-04 11:41:52.469,Department4,Res0_in_Department4,System3
1281,New online application received,2017-04-04 11:54:12.054,Department4,Res3_in_Department4,System3
1282,New online application received,2017-04-04 12:01:23.432,Department4,Res0_in_Department4,System3
1283,New online application received,2017-04-04 12:02:08.821,Department4,Res2_in_Department4,System3
1284,New online application received,2017-04-04 12:05:32.170,Department4,Res3_in_Department4,System3
1285,New online application received,2017-04-04 12:12:21.626,Department4,Res2_in_Department4,System3
1286,New online application received,2017-04-04 12:20:35.926,Department4,Res0_in_Department4,System3
1287,New online application received,2017-04-04 12:27:23.558,Department4,Res4_in_Department4,System3
1288,New online application received,2017-04-04 12:29:28.303,Department4,Res1_in_Department4,System3
1289,New online application received,2017-04-04 12:35:10.464,Department4,Res2_in_Department4,System3
129,New online application received,2017-03-14 15:59:17.301,Department4,Res1_in_Department4,System3
1290,New online application received,2017-04-04 12:36:55.684,Department4,Res1_in_Department4,System3
1291,New online application received,2017-04-04 12:54:51.696,Department4,Res0_in_Department4,System3
1292,New online application received,2017-04-04 13:03:47.870,Department4,Res4_in_Department4,System3
1293,New online application received,2017-04-04 13:05:39.037,Department4,Res4_in_Department4,System3
1294,New online application received,2017-04-04 13:13:42.608,Department4,Res2_in_Department4,System3
1295,New online application received,2017-04-04 13:14:54.498,Department4,Res3_in_Department4,System3
1296,New online application received,2017-04-04 13:19:36.613,Department4,Res2_in_Department4,System3
1297,New online application received,2017-04-04 13:26:51.152,Department4,Res2_in_Department4,System3
1298,New online application received,2017-04-04 13:30:40.609,Department4,Res0_in_Department4,System3
1299,New online application received,2017-04-04 13:41:25.947,Department4,Res0_in_Department4,System3
13,New online application received,2017-03-13 11:17:24.805,Department4,Res3_in_Department4,System3
130,New online application received,2017-03-14 16:13:29.808,Department4,Res0_in_Department4,System3
1300,New online application received,2017-04-04 13:44:56.456,Department4,Res3_in_Department4,System3
1301,New online application received,2017-04-04 13:53:40.492,Department4,Res0_in_Department4,System3
1302,New online application received,2017-04-04 13:59:51.827,Department4,Res1_in_Department4,System3
1303,New online application received,2017-04-04 14:03:57.583,Department4,Res3_in_Department4,System3
1304,New online application received,2017-04-04 14:17:35.915,Department4,Res4_in_Department4,System3
1305,New online application received,2017-04-04 14:26:13.289,Department4,Res3_in_Department4,System3
1306,New online application received,2017-04-04 14:38:59.300,Department4,Res4_in_Department4,System3
1307,New online application received,2017-04-04 14:42:42.510,Department4,Res3_in_Department4,System3
1308,New online application received,2017-04-04 14:47:01.665,Department4,Res1_in_Department4,System3
1309,New online application received,2017-04-04 14:47:04.541,Department4,Res4_in_Department4,System3
131,New online application received,2017-03-14 16:47:22.842,Department4,Res0_in_Department4,System3
1310,New online application received,2017-04-04 14:49:00.632,Department4,Res1_in_Department4,System3
